"id","order","score","weight","color","label"
"RG1",1,0.084,1,"#D73027","p=0.10, q=0.05, r=1"
"RG2",2,0.003,1,"#F46D43","p=0.30, q=0.15, r=1"
"RG3",3,0.440,1,"#FDAE61","p=0.85, q=0.85, r=1"
"RG4",4,0.460,1,"#FEE090","p=0.45, q=0.60, r=1"
"RG5",5,0.499,1,"#FFFFBF","p=0.75, q=0.55, r=1"
"RG6",6,0.509,1,"#E0F3F8","p=0.05, q=0.85, r=10"
"RG7",7,0.350,1,"#ABD9E9","p=0.85, q=0.20, r=10"
"RG8",8,0.205,1,"#74ADD1","p=0.75, q=0.10, r=10"
"RG9",9,0.633,1,"#4575B4","p=0.70, q=0.80, r=10"
